Category,Product Name,Final Price,Original Price,Discount,Image URL
chilled_products,Newdale Milk Shake Chocolate 180ml,Rs 250.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
chilled_products,Almarai Cheese Slices Burger 10S 200g,"Rs 1,450.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic126187.jpg
chilled_products,Almarai Cheese Slices Sandwich 10S 200g,"Rs 1,450.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic126188.jpg
chilled_products,Almarai Cheese Slices Cheddar 10S 200g,"Rs 1,450.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic126189.jpg
chilled_products,Spreado Cocoa Original Spread 200g,"Rs 1,020.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic125055.jpg
chilled_products,Shan Lanka Wattalappan 80g,Rs 198.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
chilled_products,Flora Fat Spread Tub 100g,Rs 342.00 / Unit,Rs 380.00,10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic125112.jpg
chilled_products,Fondre Fat Spread Tub 500g,"Rs 1,450.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic125386.jpg
chilled_products,Fondre Fat Spread Tub 250g,Rs 671.00 / Unit,Rs 790.00,15%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic125387.jpg
chilled_products,Heavenly Pre-Cooked Sweetcorn 165g,Rs 530.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
chilled_products,Kotmale Cheese Slices 10S 200g,Rs 980.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
chilled_products,Bfresh Drink Mango Passionade 1L,"Rs 1,750.00",,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
household_essentials,Lifebuoy Bodywash Mild Care 240ml,Rs 432.00 / Unit,Rs 480.00,10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic45119.jpg
household_essentials,Godrej Aer Power Pocket Lavender 10g,Rs 320.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic119837.jpg
household_essentials,Little Lion Golden Cow Rusk Original 70g,Rs 300.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic112573.jpg
household_essentials,Panasonic Batteries Neo Ro3nt/2B Aaa,Rs 350.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic112673.jpg
household_essentials,Panasonic Battery Alkaline -Lr03t/4B Aaa,"Rs 1,300.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic112679.jpg
household_essentials,Lactogen Comfopro Baby Milk Powder 6-12Months Box 300G,"Rs 1,500.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic116123.jpg
household_essentials,Lactogen Comfopro Baby Milk Powder 0-6Months Box 300G,"Rs 1,500.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic116124.jpg
household_essentials,Velona Cuddles Ezy Pant 18 Pieces Small,"Rs 1,825.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic116182.jpg
household_essentials,Flora Toilet Rolls 2Ply 10S,"Rs 2,362.00 / Unit","Rs 2,625.00",10%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic1203.jpg
snacks,Miaow Miaow Bbq Flavoured Snack 50G,Rs 590.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Noas Super Indian Mix 150g,Rs 340.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Smak Onion Mixed Bite 80g,Rs 235.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Smak Spicy Bite 80g,Rs 235.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Sandul Bata Tipis 125g,Rs 390.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Sandul Tipi Rings 125g,Rs 390.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Sandul Coil Murukku 150g,Rs 380.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Sandul Pakoda 125g,Rs 298.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Gourmet Popcorn Salt & Pepper 60g,Rs 590.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Gourmet Popcorn Dark Choco Bark 75g,Rs 590.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Gourmet Popcorn Caramel Crisp 75g,Rs 590.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,Taali Protein Puffs Cream & Onion 60g,Rs 493.00 / Unit,Rs 580.00,15%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic126399.jpg
snacks,Uswatte Chirpy Chips Salted 50g,Rs 200.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
snacks,4700Bc Gourmet Popcorn Sriracha Lime Cheese 35g,Rs 480.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic127041.jpg
grocery,Prima Toppz Creamy Chicken Noodle 87g,Rs 175.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic116147.jpg
grocery,Alli Papadam Special 60g,Rs 130.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic10274.jpg
grocery,Munchee Chocolate Wafer Sticks 20g,Rs 40.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic118563.jpg
grocery,Daawat Rice White Basmathi 1Kg (5U),"Rs 1,758.00",,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
grocery,Keells Rice Basmathi 1Kg (5U),Rs 690.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic120462.jpg
grocery,Keells Gram Dhall 500g,Rs 270.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic8705.jpg
grocery,Arunalu Dry Fish Sprats Head On 200G,Rs 750.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic2465.jpg
grocery,Keells Cumin Seeds 100g,Rs 375.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic42545.jpg
grocery,Renuka Coconut Milk Powder Sachet 25g,Rs 110.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic7474.jpg
grocery,Keells Red Cowpea 500g,Rs 945.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic104201.jpg
grocery,Oateo Jumbo Rolled Oats 500g,Rs 900.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic116871.jpg
grocery,Cic White Slender Rice Low Gi 41 1kg,Rs 590.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic117240.jpg
grocery,Nipuna Keeri Samba Broken 1Kg (5U),Rs 260.00,,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
grocery,Maliban Checkers Coffee Cookies 90g,Rs 130.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121135.jpg
chilled_products,Coombecastle Wensleydale Blueberry 180g,"Rs 3,180.00",,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
chilled_products,Bfresh Drink Wood Apple 1L,"Rs 1,450.00",,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
chilled_products,Astra Soft Fat Spread Tub 250g,Rs 495.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic126517.jpg
chilled_products,Kotmale Cheese Wedges Low Fat 8S 120g,Rs 580.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic123532.jpg
chilled_products,Richlife Butter Salted 100g,Rs 532.00 / Unit,Rs 560.00,5%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic123881.jpg
chilled_products,Buon Appetito Goat Cheese Wedge 200g,"Rs 3,870.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic123377.jpg
chilled_products,Chello Basil Seed Drinking Yoghurt Strawberry 180Ml,Rs 127.00 / Unit,Rs 150.00,15%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121854.jpg
chilled_products,Revello Speciality Brownie 200G,Rs 700.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic121864.jpg
chilled_products,Ciao Greek Yoghurt 500g,"Rs 1,280.00",,,https://essstr.blob.core.windows.net/essimg/Small/Default.jpg
chilled_products,Richlife Cheese Slices Processed 10S 200G,Rs 931.00 / Unit,Rs 980.00,5%,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic122402.jpg
chilled_products,Cic Creamoo Set Yoghurt 75g,Rs 70.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic44132.jpg
chilled_products,Happy Cow Cheese Slices Sandwch 10S 200g,"Rs 1,790.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic80160.jpg
chilled_products,Happy Cow Cheese Slices Cheddar 10S 200g,"Rs 1,790.00",,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic80184.jpg
household_essentials,Sunsilk Shampoo Black Shine 180ml,Rs 625.00,,,https://essstr.blob.core.windows.net/essimg/350x/Small/Pic13953.jpg
